GENERAL FEATURES
media queries
custom properties (variables)
@font-face
@supports
prefers-color-scheme
-webkit aliases

flex-grow 0.56153106
flex-shrink 0.55153324
flex-basis 0.40405568
flex-flow 0.29474599
alias-webkit-flex-wrap 0.15837093
alias-webkit-flex 0.15723241
alias-webkit-flex-grow 0.15040812
alias-webkit-flex-shrink 0.14652549
alias-webkit-flex-basis 0.09231067
order 0.36160447
alias-webkit-order 0.06799822
alias-webkit-flex-flow 0.06408091

LEGACY FLEX
webkit-box-orient 0.46283243
webkit-box-pack 0.37951837
webkit-box-align 0.35488086
webkit-box-flex 0.31099091
webkit-box-direction 0.24741334
webkit-box-ordinal-group 0.07391303

GRID
grid-template-columns 0.3701859
grid-column 0.22069571
grid-template-rows 0.20336827
grid-area 0.1717795
grid-row 0.14294376
grid-template-areas 0.11184224
grid-auto-flow 0.10487924
grid-column-gap 0.09692748
order 0.36160447
alias-webkit-order 0.06799822
grid-auto-rows 0.06008971
grid-row-start 0.05857809
grid-column-start 0.05681302
grid-auto-columns 0.05426023
grid-row-gap 0.05214831

SVG
fill 0.60419625
stroke 0.39066242
stroke-width 0.40793887
stroke-dashoffset 0.2692668
stroke-dasharray 0.25348916
fill-opacity 0.10700002
stroke-linecap 0.09082167
stroke-miterlimit 0.07475792
stroke-opacity 0.06114083

FONT-FACE
src 0.72179942
unicode-range 0.43294015

UA HINTS
will-change 0.32462878
appearance 0.43092339
webkit-appearance 0.63946632
alias-webkit-text-size-adjust 0.58311217
text-size-adjust 0.2060806
forced-color-adjust 0.17028819
color-scheme 0.1593462
scrollbar-color 0.08986505
image-rendering 0.07286318
overflow-anchor 0.05877947

MISC
cursor 0.83996949
resize 0.33381254
scrollbar-width 0.33046442

TRANSFORM
transform 0.82049524
alias-webkit-transform 0.62493411
transform-origin 0.50923198
alias-webkit-transform-origin 0.26735057
backface-visibility 0.18950322
alias-webkit-backface-visibility 0.17794201
transform-style 0.11293268
perspective 0.09216148

TRANSITION
transition 0.78729346
alias-webkit-transition 0.58746856
transition-duration 0.38956908
transition-property 0.37434776
transition-timing-function 0.35458288
transition-delay 0.2936515
alias-webkit-transition-property 0.15681429
alias-webkit-transition-duration 0.10449836
alias-webkit-transition-timing-function 0.09420097
alias-webkit-transition-delay 0.07460656

ANIMATION
